ID_Candidato,Nombre,Año,Agrupacion,Categoria,Cargo,Electo
ARIEL DEAN,"DEAN, ARIEL",2023,Orden y Progreso,Fiscalizadora,1,SI
WALTER WEIMANN,"WEIMANN, WALTER",2026,Movete Boedo Movete,Comisión Directiva,Vocal 2,NO
WALTER WEIMANN,"WEIMANN, WALTER",2025,Movete Boedo Movete,Comisión Directiva,Vocal 5,NO
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 2,NO
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2023,Volver a San Lorenzo,Fiscalizadora,1,SI
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2016,Volver a San Lorenzo,Asamblea,4,NO
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2010,Nuevo San Lorenzo,Asamblea,12,NO
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2007,Frente San Lorenzo,Asamblea,3,SI
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2019,Volver a San Lorenzo,Fiscalizadora,,NO
FERNANDO MARCELO MEIS,"MEIS, MARCELO FERNANDO",2016,Volver a San Lorenzo,Fiscalizadora,,NO
FARINA GONZALO,"FARIÑA, GONZALO",2026,Nueva Generacion,Comisión Directiva,Vocal 2,NO
CARTA MOGLIETTA VALERIA,"CARTA MOGLIETTA, VALERIA",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 3,NO
CARTA MOGLIETTA VALERIA,"CARTA MOGLIETTA, VALERIA",2025,X Amor a San Lorenzo,Comisión Directiva,Vice-Presidente,SI
CARTA MOGLIETTA VALERIA,"CARTA MOGLIETTA, VALERIA",2023,Boedo en Accion,Asamblea,15,SI
CARTA MOGLIETTA VALERIA,"CARTA MOGLIETTA, VALERIA",2022,Boedo en Accion,Asamblea,20,NO
ANA BOZZANO,"BOZZANO, ANA",2026,Primero San Lorenzo,Comisión Directiva,Vocal 3,NO
ALFREDO ALONSO,"ALONSO, ALFREDO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 3,NO
ALFREDO ALONSO,"ALONSO, ALFREDO",2025,Movete Boedo Movete,Comisión Directiva,Vocal 7,NO
AGUSTINA NORDENSTROM,"NORDENSTROM, AGUSTINA",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 3,NO
AGUSTINA NORDENSTROM,"NORDENSTROM, AGUSTINA",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 3,SI
AGUSTINA NORDENSTROM,"NORDENSTROM, AGUSTINA",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 3,NO
AGUSTINA NORDENSTROM,"NORDENSTROM, AGUSTINA",2019,Volver a San Lorenzo,Asamblea,6,SI
DAVID VIVIANA,"DAVID, VIVIANA",2026,Nueva Generacion,Comisión Directiva,Vocal 3,NO
DAVID VIVIANA,"DAVID, VIVIANA",2022,Renovacion San Lorencista,Comisión Directiva,Vocal 2,NO
DAVID VIVIANA,"DAVID, VIVIANA",2023,Renovacion San Lorenzo,Comisión Directiva,Vocal 2,NO
ARIEL MARTIN SAIZ,"SAIZ, MARTIN ARIEL",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 4,NO
ARIEL MARTIN SAIZ,"SAIZ, MARTIN ARIEL",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 2,SI
ARIEL MARTIN SAIZ,"SAIZ, MARTIN ARIEL",2023,X Amor a San Lorenzo,Comisión Directiva,Vocal 7,NO
ARIEL MARTIN SAIZ,"SAIZ, MARTIN ARIEL",2023,Siempre San Lorenzo,Fiscalizadora,,NO
ETMAN HERNAN WALTER,"ETMAN, HERNAN WALTER",2026,Primero San Lorenzo,Comisión Directiva,Vocal 4,NO
ETMAN HERNAN WALTER,"ETMAN, HERNAN WALTER",2023,Orden y Progreso,Asamblea,1,SI
ETMAN HERNAN WALTER,"ETMAN, HERNAN WALTER",2012 (EXTRAORDINARIA),San Lorenzo Siglo XXI,Comisión Directiva,,SI
ETMAN HERNAN WALTER,"ETMAN, HERNAN WALTER",2012 (ASAMBLEA),Transitoria,Comisión Directiva,,SI
CURUTCHET ERNESTO JUAN,"CURUTCHET, JUAN ERNESTO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 4,NO
CURUTCHET ERNESTO JUAN,"CURUTCHET, JUAN ERNESTO",2025,Movete Boedo Movete,Comisión Directiva,,NO
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 4,NO
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2016,Volver a San Lorenzo,Asamblea,3,SI
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2025,Volver a San Lorenzo,Comisión Directiva,,NO
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2023,Volver a San Lorenzo,Comisión Directiva,,NO
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2019,Volver a San Lorenzo,Comisión Directiva,,NO
CARUSO DANIEL JONATHAN,"CARUSO, JONATHAN DANIEL",2023,Volver a San Lorenzo,Asamblea,,NO
ANCAROLA GONZALO,"ANCAROLA, GONZALO",2026,Nueva Generacion,Comisión Directiva,Vocal 4,NO
BOUZAS RODRIGO,"BOUZAS, RODRIGO",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 5,NO
BOUZAS RODRIGO,"BOUZAS, RODRIGO",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 8,SI
BOUZAS RODRIGO,"BOUZAS, RODRIGO",2023,X Amor a San Lorenzo,Asamblea,51,NO
CAMPOS GONZALO,"CAMPOS, GONZALO",2026,Primero San Lorenzo,Comisión Directiva,Vocal 5,NO
FLORENCIA RESTUCCI,"RESTUCCI, FLORENCIA",2026,Movete Boedo Movete,Comisión Directiva,Vocal 5,NO
FLORENCIA RESTUCCI,"RESTUCCI, FLORENCIA",2025,Movete Boedo Movete,Comisión Directiva,Vocal 6,NO
BLANCO FERNANDO MUINO,"BLANCO MUIÑO, FERNANDO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 5,NO
BLANCO FERNANDO MUINO,"BLANCO MUIÑO, FERNANDO",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 5,NO
BLANCO FERNANDO MUINO,"BLANCO MUIÑO, FERNANDO",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 6,NO
BLANCO FERNANDO MUINO,"BLANCO MUIÑO, FERNANDO",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 5,NO
ALESSANDRIA CLAUDIA,"ALESSANDRIA, CLAUDIA",2026,Nueva Generacion,Comisión Directiva,Vocal 5,NO
ARIEL SCHALE,"SCHALE, ARIEL",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 6,NO
ARIEL SCHALE,"SCHALE, ARIEL",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 7,SI
CRISCOLO PEDRO,"CRÍSCOLO, PEDRO",2026,Primero San Lorenzo,Comisión Directiva,Vocal 6,NO
CRISCOLO PEDRO,"CRÍSCOLO, PEDRO",2022,Volver a San Lorenzo,Asamblea,66,NO
CRISCOLO PEDRO,"CRÍSCOLO, PEDRO",2023,Volver a San Lorenzo,Asamblea,66,NO
FERNANDO FISCHER,"FISCHER, FERNANDO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 6,NO
FERNANDO FISCHER,"FISCHER, FERNANDO",2025,Movete Boedo Movete,Comisión Directiva,Vocal 15,NO
ALVAREZ JONATHAN,"ALVAREZ, JONATHAN",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 6,NO
ALVAREZ JONATHAN,"ALVAREZ, JONATHAN",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 2,NO
ALVAREZ JONATHAN,"ALVAREZ, JONATHAN",2023,Volver a San Lorenzo,Asamblea,16,NO
ANGEL MIGUEL SAVINO,"SAVINO, MIGUEL ANGEL",2026,Nueva Generacion,Comisión Directiva,Vocal 6,NO
ANGEL MIGUEL SAVINO,"SAVINO, MIGUEL ANGEL",2023,X Amor a San Lorenzo,Comisión Directiva,Vocal 6,NO
ANGEL MIGUEL SAVINO,"SAVINO, MIGUEL ANGEL",2022,San Lorenzo Querido,Asamblea,61,NO
ANGEL MIGUEL SAVINO,"SAVINO, MIGUEL ANGEL",2023,San Lorenzo Querido,Asamblea,61,NO
CAPRIA JOSE,"CAPRIA, JOSE",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 7,NO
CAPRIA JOSE,"CAPRIA, JOSE",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 5,SI
CAPRIA JOSE,"CAPRIA, JOSE",2007,Unidos por San Lorenzo,Comisión Directiva,,SI
CAPRIA JOSE,"CAPRIA, JOSE",2004,Unidos por San Lorenzo,Comisión Directiva,,SI
ALEJANDRO MORERIA OSCAR,"MORERIA, ALEJANDRO OSCAR",2026,Primero San Lorenzo,Comisión Directiva,Vocal 7,NO
FRANCO ZUCCOLO,"ZUCCOLO, FRANCO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 7,NO
CHAVARRIA FACUNDO,"CHAVARRIA, FACUNDO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 7,NO
CARLOS PERASSI,"PERASSI, CARLOS",2026,Nueva Generacion,Comisión Directiva,Vocal 7,NO
KARINA LEFEVRE,"LEFEVRE, KARINA",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 8,NO
KARINA LEFEVRE,"LEFEVRE, KARINA",2023,San Lorenzo Querido,Comisión Directiva,Vocal 3,NO
KARINA LEFEVRE,"LEFEVRE, KARINA",2022,San Lorenzo Querido,Comisión Directiva,Vocal 3,NO
KARINA LEFEVRE,"LEFEVRE, KARINA",2019,San Lorenzo Siglo XXI,Comisión Directiva,Vocal 9,SI
CLAUDIA COSTA DA DIAZ,"DA COSTA DIAZ, CLAUDIA",2026,Primero San Lorenzo,Comisión Directiva,Vocal 8,NO
CLAUDIA COSTA DA DIAZ,"DA COSTA DIAZ, CLAUDIA",2022,Siempre San Lorenzo,Asamblea,20,NO
CLAUDIA COSTA DA DIAZ,"DA COSTA DIAZ, CLAUDIA",2019,Cruzada por San Lorenzo,Comisión Directiva,Vocal 6,NO
CLAUDIA COSTA DA DIAZ,"DA COSTA DIAZ, CLAUDIA",2023,Siempre San Lorenzo,Asamblea,20,NO
AREVALO DEL SABRINA VALLE,"AREVALO DEL VALLE, SABRINA",2026,Movete Boedo Movete,Comisión Directiva,Vocal 8,NO
AREVALO DEL SABRINA VALLE,"AREVALO DEL VALLE, SABRINA",2025,Movete Boedo Movete,Comisión Directiva,Vocal 16,NO
MONICA NARVAEZ,"NARVAEZ, MONICA",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 8,NO
MONICA NARVAEZ,"NARVAEZ, MONICA",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 15,NO
MONICA NARVAEZ,"NARVAEZ, MONICA",2023,Volver a San Lorenzo,Asamblea,10,NO
MONICA NARVAEZ,"NARVAEZ, MONICA",2022,Volver a San Lorenzo,Asamblea,19,NO
BURGIN MARIELA,"BURGIN, MARIELA",2026,Nueva Generacion,Comisión Directiva,Vocal 8,NO
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 9,NO
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 16,SI
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2023,X Amor a San Lorenzo,Comisión Directiva,Vocal 10,NO
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2022,San Lorenzo Querido,Asamblea,14,NO
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2019,San Lorenzo Siglo XXI,Asamblea,80,NO
ARMANDO MUZOGLU,"MUZOGLU, ARMANDO",2023,San Lorenzo Querido,Asamblea,14,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2026,Primero San Lorenzo,Comisión Directiva,Vocal 9,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2023,Renovacion San Lorenzo,Comisión Directiva,Vocal 4,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2022,Renovacion San Lorencista,Comisión Directiva,Vocal 7,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2001,Unidad Azulgrana,Comisión Directiva,Vocal 14,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2007,Frente San Lorenzo,Comisión Directiva,,NO
DANIEL ROTELLA,"ROTELLA, DANIEL",2019,Frente Pasion Azulgrana,Fiscalizadora,,NO
EDUARDO RODRIGUEZ,"RODRIGUEZ, EDUARDO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 9,NO
EDUARDO RODRIGUEZ,"RODRIGUEZ, EDUARDO",2025,Movete Boedo Movete,Comisión Directiva,Vocal 14,NO
EDUARDO RODRIGUEZ,"RODRIGUEZ, EDUARDO",2012 (EXTRAORDINARIA),Por San Lorenzo,Comisión Directiva,,NO
FELIPE LOZANO,"LOZANO, FELIPE",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 9,NO
FELIPE LOZANO,"LOZANO, FELIPE",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 14,NO
AGOSTINO DANIEL,"AGOSTINO, DANIEL",2026,Nueva Generacion,Comisión Directiva,Vocal 9,NO
AGOSTINO DANIEL,"AGOSTINO, DANIEL",2010,Boedo en Accion,Comisión Directiva,,NO
ENRIQUE RONRONI,"RONRONI, ENRIQUE",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 10,NO
FERREIRA MAXIMILIANO,"FERREIRA, MAXIMILIANO",2026,Primero San Lorenzo,Comisión Directiva,Vocal 10,NO
FERRO NICOLAS,"FERRO, NICOLAS",2026,Movete Boedo Movete,Comisión Directiva,Vocal 10,NO
ERTOLA PATRICIO,"ERTOLA, PATRICIO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 10,NO
ERTOLA PATRICIO,"ERTOLA, PATRICIO",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 11,NO
ERTOLA PATRICIO,"ERTOLA, PATRICIO",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 11,NO
ERTOLA PATRICIO,"ERTOLA, PATRICIO",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 11,NO
LEANDRO VIDAL,"VIDAL, LEANDRO",2026,Nueva Generacion,Comisión Directiva,Vocal 10,NO
GARAY GERMAN,"GARAY, GERMAN",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 11,NO
MAIDANA NOELIA SILVANA,"MAIDANA, SILVANA NOELIA",2026,Primero San Lorenzo,Comisión Directiva,Vocal 11,NO
PABLO RODRIGUEZ,"RODRIGUEZ, PABLO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 11,NO
BARROS LEONARDO,"BARROS, LEONARDO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 11,NO
BARROS LEONARDO,"BARROS, LEONARDO",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 3,NO
DANIEL REIMUNDES,"REIMUNDES, DANIEL",2026,Nueva Generacion,Comisión Directiva,Vocal 11,NO
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 12,NO
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2019,San Lorenzo Siglo XXI,Fiscalizadora,1,SI
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2001,Unidad Azulgrana,Comisión Directiva,Vocal 15,NO
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2012 (EXTRAORDINARIA),Por San Lorenzo,Comisión Directiva,,SI
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2016,San Lorenzo Siglo XXI,Fiscalizadora,,SI
FRAIMAN NICOLAS SERGIO,"FRAIMAN, SERGIO NICOLAS",2013,San Lorenzo Siglo XXI,Fiscalizadora,,SI
LUCAS RAJOY,"RAJOY, LUCAS",2026,Primero San Lorenzo,Comisión Directiva,Vocal 12,NO
LORENZO NATALICCHIO,"NATALICCHIO, LORENZO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 12,NO
DARIO DORSI RUBEN,"DORSI, RUBEN DARIO",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 12,NO
DARIO DORSI RUBEN,"DORSI, RUBEN DARIO",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 10,NO
DARIO DORSI RUBEN,"DORSI, RUBEN DARIO",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 7,NO
DARIO DORSI RUBEN,"DORSI, RUBEN DARIO",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 6,NO
LEONARDO PRESTINI,"PRESTINI, LEONARDO",2026,Nueva Generacion,Comisión Directiva,Vocal 12,NO
LEONARDO PRESTINI,"PRESTINI, LEONARDO",2022,Renovacion San Lorencista,Asamblea,29,NO
LEONARDO PRESTINI,"PRESTINI, LEONARDO",2023,Renovacion San Lorenzo,Asamblea,29,NO
HERMIDA SANCHEZ VANESA,"SANCHEZ HERMIDA, VANESA",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 13,NO
HERMIDA SANCHEZ VANESA,"SANCHEZ HERMIDA, VANESA",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 6,SI
HERMIDA SANCHEZ VANESA,"SANCHEZ HERMIDA, VANESA",2023,Boedo en Accion,Asamblea,45,SI
HERMIDA SANCHEZ VANESA,"SANCHEZ HERMIDA, VANESA",2022,Boedo en Accion,Asamblea,50,NO
GUILLERMO MANGONE,"MANGONE, GUILLERMO",2026,Primero San Lorenzo,Comisión Directiva,Vocal 13,NO
GUILLERMO MANGONE,"MANGONE, GUILLERMO",2025,Revolucion Azulgrana,Comisión Directiva,Vocal 1,NO
GUILLERMO MANGONE,"MANGONE, GUILLERMO",2023,Renovacion San Lorenzo,Comisión Directiva,Vocal 1,NO
GUILLERMO MANGONE,"MANGONE, GUILLERMO",2022,Renovacion San Lorencista,Comisión Directiva,Vocal 1,NO
GUILLERMO MANGONE,"MANGONE, GUILLERMO",2004,Grandeza Azulgrana,Comisión Directiva,,NO
ALEJANDRO GIONGO,"GIONGO, ALEJANDRO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 13,NO
ALEJANDRO GIONGO,"GIONGO, ALEJANDRO",2025,Movete Boedo Movete,Comisión Directiva,Vocal 17,NO
MARIEL RASCOVAN,"RASCOVAN, MARIEL",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 13,NO
MARIEL RASCOVAN,"RASCOVAN, MARIEL",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 16,NO
MARIEL RASCOVAN,"RASCOVAN, MARIEL",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 13,NO
MARIEL RASCOVAN,"RASCOVAN, MARIEL",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 13,NO
FRANCISCO SAVOINI,"SAVOINI, FRANCISCO",2026,Nueva Generacion,Comisión Directiva,Vocal 13,NO
BOUZAS MARCELO,"BOUZAS, MARCELO",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 14,NO
BOUZAS MARCELO,"BOUZAS, MARCELO",2023,X Amor a San Lorenzo,Comisión Directiva,Vocal 11,NO
BOUZAS MARCELO,"BOUZAS, MARCELO",2010,Vamos San Lorenzo,Comisión Directiva,,NO
CORDASCO GONZALEZ TOMAS,"GONZALEZ CORDASCO, TOMAS",2026,Primero San Lorenzo,Comisión Directiva,Vocal 14,NO
CORDASCO GONZALEZ TOMAS,"GONZALEZ CORDASCO, TOMAS",2023,Orden y Progreso,Comisión Directiva,Vocal 10,NO
CLAUDIO DIOTALLEVI,"DIOTALLEVI, CLAUDIO",2026,Movete Boedo Movete,Comisión Directiva,Vocal 14,NO
ARAUJO NELSON OMAR,"ARAUJO, NELSON OMAR",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 14,NO
ARAUJO NELSON OMAR,"ARAUJO, NELSON OMAR",2023,Volver a San Lorenzo,Asamblea,21,NO
